the thə
favor fāvər
connect kənekt
post pōst
spend spend
chord kȯrd
fat fat
glad glad
original ərijənᵊl
share sher
station stāshən
dad dad
bread bred
charge chärj
proper präpər
bar bär
offer ȯfər
segment segmənt
slave slāv
duck dək
instant instənt
market märkət
degree digrē
populate päpyəlāt
chick chik
dear dir
enemy enəmē
reply riplī
drink driŋk
occur əkər
support səpȯrt
speech spēch
nature nāchər
range rānj
steam stēm
motion mōshən
path path
liquid likwəd
log lȯg
meant mēn
quotient kwōshənt
teeth tēth
shell shel
neck nek
